name ,description,year,link ,taecher name,platform,topic,Course duration,level,rate,price
Google Digital Marketing & E-commerce Professional Certificate,"Get on the fast track to a career in digital marketing. In this certificate program, you'll learn in-demand skills at your own pace, no degree or experience required.",2022,https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce,Google,coursera,marketing,6 month,Beginner,4.8,Paid
SEO Fundamentals,Learn the basics of search engine optimization.	,2023,https://www.udemy.com/course/search-engine-optimization-for-beginners-seo-that-works/?gad_source=1&gclid=Cj0KCQjw_qexBhCoARIsAFgBletR_y5Jij_YrvyzkvI7_p7erRWeDeihipZ8uwJefizldUF86R1P930aAhsKEALw_wcB&matchtype=b&utm_campaign=Branded-Topic_la.EN_cc.ROW&utm_content=deal4584&utm_medium=udemyads&utm_source=adwords&utm_term=_._ag_84507567288_._ad_636445577946_._kw_seo+udemy_._de_c_._dm__._pl__._ti_kwd-1273050966673_._li_1005394_._pd__._&couponCode=ST6MT42324,John Doe	,Udemy,SEO,4 weeks	,Beginner,4.5, Free
Email Marketing        ,Master the art of email marketing strategies.	,2022,https://www.coursera.org/articles/email-marketing,Jane Smith,Coursera,Email Marketing	,6 weeks	,Intermediate,4.8,Paid
Social Media Marketing,Explore the world of social media marketing.	,2024,https://www.edx.org/learn/social-media-marketing,Mark Johnson	,edX,Social Media,8 weeks	,Advanced,4.6,Free
Google Ads Mastery,Learn how to optimize Google Ads campaigns.	,2022,https://www.udacity.com/course/search-engine-marketing--cd0694,Daniel Kob and Liana Gross Furini ,Udacity,Google Ads	,4 weeks,Beginner,4.9, Free
 Specialization in digital marketing,"Enhancing customer behavior online. A six-course overview of the latest digital marketing skills, taught by industry experts",2024,https://www.coursera.org/specializations/digital-marketing,Vishal Sachdev,Coursera,Marketing in a Digital World,4 weeks ,Beginner,4.6,Paid
"UMD, USMx: Fundamentals of Digital Marketing
","Learn the varied and changing approaches to digital marketing, such as mobile and omnichannel marketing and attribution and marketing mix modeling to inform your organization’s digital marketing strategy.

",2020,https://www.edx.org/learn/digital-marketing/the-university-of-maryland-college-park-fundamentals-of-digital-marketing?index=product&objectID=course-37e67dee-6b18-4cc2-a489-247eb377fc71&webview=false&campaign=Fundamentals+of+Digital+Marketing&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Flearn%2Fsocial-media-marketing,"P.K. Kannan and Lingling Zhang",edX,Digital Marketing,4 weeks, Beginner,4.4,Free
Marketing Essentials,"The course aims to teach the basic theories of marketing management through realistic practices and examples, and seeks to build a bridge between information and practical experience in the field of marketing.",2023,https://www.edx.org/bachelors/microbachelors/doanex-marketing-essentials?index=product&objectID=program-89ed3852-7de0-41e8-add6-72f0a6b952fd&webview=false&campaign=Marketing+Essentials&source=edX&product_category=microbachelors&placement_url=https%3A%2F%2Fwww.edx.org%2Flearn%2Fsocial-media-marketing,Jeffrey Frohwein,edX,Marketing strategy,3 months, Beginner,4.7,Free
Influencer Marketing,Harness the power of influencer marketing.,2023,https://www.futurelearn.com/courses/your-live-social-media-campaign-customers-influencer-engagement-analytics,Alex Turner, FutureLearn,Influencer Marketing,3 weeks,Beginner,4.6,Paid
Mobile Marketing, Learn about marketing strategies for mobile,2023,https://www.edx.org/learn/marketing,Laura Green,edX,Mobile Marketing, 6 weeks,Intermediate,4.5,Free
Content Marketing Specialization,Master the art of creating and distributing valuable content.,2023,https://www.coursera.org/learn/content-marketing,john lavine,Coursera,Content Marketing,3 months,Advanced,4.7,Paid
