Link,Description,Platform ,year ,taecher name,Evaluation,Level ,price
https://youtube.com/playlist?list=PLp22-4PivYmIFAnru_L7fnMhSV5YffLTZ&si=be3scIRSTN2LUKMl,Learn English from scratch,YouTube,2017,Ibrahim Adel,,begginner,free
https://youtube.com/playlist?list=PLm4UneJphcVkzG2-deJ1cwexhPy_h9yC7&si=ueH5BfS7ee3Df1U1,Learn Japanese from scratch,YouTube,2023,Islam Fathi,,begginner,free
https://youtube.com/playlist?list=PLhGsy5f_c71DB156kUr5_i0O1gKwZJHS-&si=7lHREu-qU2raevXw,Learn Turkish from scratch,YouTube,2020,Zubaydah Shayb,,begginner,free
https://youtube.com/playlist?list=PLrao2hiwu1uOu_xCO8NuoZ6sYdK5690So&si=vQd6nLkaq_dPmgy8,Learn Portuguese from scratch,YouTube,2020,EL HADI ERBIAI,,begginner,free
https://youtube.com/playlist?list=PLYCB_MBb9GaD83DeewhehJBRFO6EjlSBQ&si=_l8LBOTro0jyl5N-,Learn Spanish from scratch,YouTube,2019,Mohamed Gomaa,,begginner,free
https://youtube.com/playlist?list=PL3A4RwiWkh-SG_7YlBvJ1FrQppOJQnbPp&si=n6go0Xlb5msBMAy1,Learn English from scratch,YouTube,2022,Mohamed Al-Rikabi,,begginner,free
https://youtube.com/playlist?list=PLxCFn5-t8kLULjilHcetdb9EZJlV3rRcV&si=QTM2fX1sb4aDXY2P,Learn Chinese from scratch,YouTube,2021,Ibrahim Adel,,begginner,free
https://youtube.com/playlist?list=PL8tN7PSHumdSN2EAP5-ui59iBPysTYFl6&si=Of7ND-pRZ6yKd6SH,Learn French from scratch,YouTube,2018,,,begginner,free
https://youtube.com/playlist?list=PLawKOZJF6P4aFnQ0IZ8DruunUg5PZEflI&si=D59NEC43WqMETqlK,Learn German from scratch,YouTube,2021,Mira,,begginner,free
https://youtube.com/playlist?list=PLwxQU6XSUhX5jMmarbGobqpJbv-42hxyT&si=HOGSlfVflGD5IL5F,Learn English from scratch,YouTube,2018,Ahmed Sabita,,begginner,free
https://youtu.be/4HRmq_Hb8p4?si=3bg0YmeGXC7AwSMx,Learn Italian from scratch,YouTube,2020,Um Mohamed ,,begginner,free
https://www.coursera.org/learn/careerdevelopment,English for Career Development,Coursera,unknown,Brian McManus,4.8,Mix,free
https://www.coursera.org/learn/learn-korean,First Step Korean,Coursera,unknown, Seung Hae Kang,4.9,begginner,free
https://www.coursera.org/learn/english-common-interactions-workplace-basic-level,English for Common Interactions in the Workplace: Basic Level,Coursera,unknown,James Gibbons,4.7,Mix,free
https://www.coursera.org/specializations/learn-spanish,Learn Spanish: Basic Spanish Vocabulary Specialization,Coursera,unknown,Dr. Robert Blake,4.6,begginner,free
https://www.coursera.org/learn/correccion-estilo-variaciones,"Corrección, estilo y variaciones de la lengua española",Coursera,unknown,Santiago Alcoba,4.6,begginner,free
https://www.coursera.org/learn/learn-chinese,Chinese for Beginners,Coursera,unknown,Xiaoyu Liu,4.8,begginner,free
https://www.coursera.org/learn/glasscock,English and Academic Preparation - Pre-Collegiate,Coursera,unknown,Alice Llanos,4.7,begginner,free
https://www.coursera.org/learn/writing-english-university,Writing in English at University,Coursera,unknown,Satu Manninen,4.6,begginner,free
https://www.coursera.org/learn/enpublicspeaking,Training and Practicing in English Public Speaking,Coursera,unknown,张春敏,4.6,begginner,free
https://www.coursera.org/learn/english-composition,English Composition I,Coursera,unknown, Dr. Denise Comer,4.6,begginner,free
https://www.coursera.org/learn/english-lower-intermediateb1,English Lower Intermediate B1.1,Coursera,unknown,Ruth Kerr,4.2,Medium,free
https://www.coursera.org/learn/lesson-business-english-skills-how-to-write-effective-openings-and-closings-to-emails,Lesson | Business English Skills: How to Write Effective Openings and Closings to Emails,Coursera,unknown,Richard Moore,4.5,Medium,free
https://www.coursera.org/learn/lesson-business-english-skills-introducing-yourself-in-business-settings,Lesson | Business English Skills: Introducing Yourself in Business Settings,Coursera,unknown,Richard Moore,4.4,Medium,free
https://www.coursera.org/learn/teachlanguageonline,Teach English Now! Teaching Language Online,Coursera,unknown,Emilia Gracia,4.4,Medium,free
https://www.coursera.org/learn/english-for-interactions-in-the-workplace-intermediate-level,English for Interactions in the Workplace Intermediate Level,Coursera,unknown,Paula Ross,4.4,Medium,free
https://www.udemy.com/course/fullmoonjackson/,You have a problem learning English here is the solution,Udemy,unknown,FullMoon abdullah,4.7,Professional,paid
https://www.udemy.com/course/englishlanguageskills/,English language skills for beginners,Udemy,unknown,"Mustafa Sadiq
",4.7,begginner,paid
https://www.udemy.com/course/bestcourses/,"Learn English, IELTS and American slang.",Udemy,unknown,U.B.A. Pro,4.6,Professional,paid
https://www.udemy.com/course/english-nourhomsi/,Learn English from scratch to professionalism,Udemy,unknown,Nour Homsi,4.2,Professional,paid
https://www.coursera.org/learn/learn-speak-korean1,Learn to Speak Korean 1,Coursera,unknown,Sang Mee Han,4.9,begginner,free
