name ,description,year,link ,taecher name,platform,topic,Course duration,level,rate,price
Introduction to Code Basics course,يقدم هذا الكورس شرحًا مبسطًا لمفاهيم البرمجة الأساسية، مثل المتغيرات والحلقات والدوال والشروط. مناسب للمبتدئين الذين ليس لديهم أي خبرة سابقة في البرمجة,2018,https://developers.google.com/focus/web-development,Google AI,Google Developers,,4 أسابيع (4 ساعات أسبوعيًا),beginner ,4.7,free
CS50's Introduction to Computer Science:,يقدم هذا الكورس مقدمة شاملة لعلم الحاسوب، بما في ذلك البرمجة والخوارزميات وهياكل البيانات والأمن المعلوماتي. مناسب للمبتدئين الذين ليس لديهم أي خبرة سابقة في البرمجة,2012,https://pll.harvard.edu/course/cs50-introduction-computer-science,David Malan,edX,,12 أسبوعًا (8-12 ساعة أسبوعيًا),beginner ,4.9,free
Programming Ba/sics,يقدم هذا الكورس شرحًا لمفاهيم البرمجة الأساسية باستخدام لغة Python. مناسب للمبتدئين الذين ليس لديهم أي خبرة سابقة في البرمجة.,2016,https://www.tutorialspoint.com/computer_programming/computer_programming_basics.htm,Paul Humphreys,edX,,6 أسابيع (4-6 ساعات أسبوعيًا),beginner ,4.7,free
The Web Developer Bootcamp 2023,قدم هذا الكورس شرحًا شاملًا لتطوير الويب باستخدام HTML و CSS و JavaScript. مناسب للمبتدئين الذين يرغبون في تعلم تطوير الويب من الصفر.,2023,https://www.udemy.com/course/the-web-developer-bootcamp/,Colt Steele,Udemy,,13 ساعة,Intermediate,4.8,paid
Android Basics,يقدم هذا الكورس شرحًا لأساسيات تطوير تطبيقات Android باستخدام لغة Kotlin. مناسب للمبتدئين الذين يرغبون في تعلم تطوير تطبيقات Android من الصفر.,2020,https://www.tutorialspoint.com/android/index.htm,Google,Udacity,,7 أسابيع (2-3 ساعات أسبوعيًا),beginner,4.7,free
Introduction to Computer Science and Programming with Python,"A comprehensive introduction to computer science and its fundamental concepts, focusing on the Python programming language.",2023,https://www.coursera.org/learn/python,Dr. Eric Matzen,Coursera,"Computer Science, Python",12 weeks,Beginner,4.7,Free (with paid certificate)
| Learn Programming from Scratch – C++ Language,| Learn Programming from Scratch – C++ Language,2022,https://www.udemy.com/courses/development,Mr. Ahmed Mustafa,Udemy,C++,18 hours,Beginner,4.6,Paid
"Web Development Fundamentals with HTML, CSS, and JavaScript","| Learn the fundamentals of web development and build interactive websites using HTML, CSS, and JavaScript.",2021,https://www.edx.org/learn/computer-programming, Google Developers Team,edX,"Web Development, HTML, CSS, JavaScript",6 weeks,Beginner,4.9,Free (with paid certificate)
Learn Java Programming from Scratch,"Learn the Java programming language from scratch, focusing on basic concepts and building applications",2020,Java Programming for Beginners – Full Course - YouTube,| Barg Programming Channe,YouTube,Java,100 hours ,Beginner,4.8,Free (with paid certificate)
Professional Programming Diploma,"A comprehensive diploma to learn professional programming, including C++, C#, Java, Python, JavaScript, and PHP",2023,https://academy.hsoub.com/,| A group of professional trainers,حسوب Academy,"Programming, C++, C#, Java, Python, JavaScript, PHP",12 mounth,Intermediate,4.5,Paid
Learn Android App Development with Java ,Learn how to develop Android apps from scratch using the Java programming language,2022,https://www.udacity.com/catalog](https://www.udacity.com/catalog,Google,Udacity,"Android App Development, Java",3 months,Intermediate,4.7,Paid
Python Programming Course for Non-Programmers|,Learn Python programming for beginners with no prior programming experience.,2023,https://www.udemy.com/course/python-programming-for-absolute-beginners-using-python-3/,Dr. Angela Yu,Udemy,Python,12 hours,Beginner,4.8,Paid
Complete Web Development Course: Build 25+ Real World Projects,Master front-end and back-end web development by building 25+ real-world projects.,2023,https://www.udemy.com/course/complete-web-development-course/,Andrei Neagoie,Udemy,"Web Development, HTML, CSS, JavaScript, Python, Node.js, MySQL",12 hours,Intermediate,4.9,Paid
The Complete C++ Developer Course: Build 30+ Real-World Projects ,"Learn C++ programming and build 30+ real-world projects, from beginner to advanced.",2023,(https://www.udemy.com/course/free-learn-c-tutorial-beginners/,Frank Delgrosso,Udemy,C++,20 hours,All Levels,4.7,Paid
The Complete Python Programming Course: Go from Zero to Hero in Python 3 ,Learn Python programming from scratch and become a Python exper,2023,https://www.udemy.com/course/python-complete-course-for-beginners/,Jose Portilla,Udemy,Python,15 hours,All Levels,4.8,Paid
Professional JavaScript Course,"A comprehensive course to learn JavaScript from scratch to mastery, covering all the essential language concepts, building web and interactive applications, and using libraries like Jquery and Bootstrap.",2023,https://academy.hsoub.com/programming/javascript/,A group of professional trainers,حسوب Academy,"JavaScript, Web Development",6 months,Intermediate,4.9,paid
"Learn PHP Programming Course: Learn the PHP programming language from scratch, focusing on developing dynamic websites.","A comprehensive course to learn the PHP programming language from scratch, covering all the essential language concepts, building dynamic websites, and using databases like MySQL.",2022,https://academy.hsoub.com/programming/php/,Mr. Ahmed Mustafa,حسوب Academy,"PHP, Web Development",4 months,Intermediate,4.7,Paid
Git and GitHub Tutorial: Learn how to use Git and GitHub to manage your code versions.,"A comprehensive course to learn how to use Git and GitHub to manage your code versions, covering all the essential concepts, creating code repositories, and collaborating with others.",2021,[https://www.coursera.org/,GitHub,Coursera,"Git, GitHub",4 hours,Beginner,4.8,Free (with paid certificate)
Learn iOS App Development with Swift: Learn how to build iOS apps using the Swift programming language.,"A comprehensive course to learn how to build iOS apps using the Swift programming language, covering all the essential language concepts, building user interfaces, and using APIs.",2020,https://developer.apple.com/programs/,Apple,Apple Develope,"Swift, iOS App Development",12 months,Intermediate,4.9,Paid
Machine Learning and Data Science Course:Learn the fundamentals of machine learning and data science.,"A comprehensive course to learn the fundamentals of machine learning and data science, covering essential concepts like supervised and unsupervised learning, natural language processing, and computer vision.",2023,https://www.coursera.org/learn/machine-learning,Andrew Ng,Coursera,"Machine Learning, Data Science",11 weeks,Intermediate,4.9 out of 5 stars,Paid
Learn to Build Web Applications with React,"A comprehensive course to learn how to build interactive web applications using the React.js library, covering all the essential concepts of the library, building user interfaces, and using React components.",2023,https://www.coursera.org/courses?query=react,Facebook,Coursera,"React.js, Web Development",8 weeks,Intermediate,4.8,Free (with paid certificate)
Learn to Build Desktop Applications with C# and .NET,"A comprehensive course to learn how to build desktop applications using the C# programming language and .NET Framework, covering all the essential concepts of the language, building user interfaces, and using databases.",2022,https://dotnet.microsoft.com/en-us/learn/csharp,Microsoft,Microsoft Learning,"C#, .NET, Desktop Application Development",6 months,Intermediate,4.7,Paid
Learn Data Analysis with Python,"A comprehensive course to learn how to analyze data using Python libraries like Pandas and NumPy, covering essential concepts like cleaning and processing, statistical analysis, and visualization.",2021,https://www.edx.org/school/ibm,IBM,edX,"Python, Data Analysis",6 weeks,Intermediate,4.9,Free (with paid certificate)
