link,platform,description,year,teacher,,,paid or free,Duration
https://youtube.com/playlist?list=PLrK9K_IANCy-BfFkJocWnu3UPWlDup5Fd&si=33uRdYJtxzPhr-rL,YouTube,This course teaches you how to take action when you continue to be frustrated or upset,(2016-2024),Brendon Burchard,level,rate and reviews,Free,open duration
https://youtube.com/playlist?list=PL1bfG3XJ1awaPtxxP1oN5e3N6KCDekfIV&si=RUo9rXkcG14gekwh,YouTube,This course teaches you how to build healthy habits for your life and it gives you ideas for motivation,(2018-2024),Amy landino,All levels,highest views 5.7M,Free,open duration
https://youtube.com/playlist?list=PLYQnJw9Q6HIZPk7jPeauP3SlTudX_I0Em&si=nAa3LSAYT0o9lX4B,YouTube,Time management and build healthy habits course,(2018-2020),Michelleb,All levels,highest views 6.8M,Free,open duration
https://youtube.com/playlist?list=PLwxNMb28XmpeypJMHfNbJ4RAFkRtmAN3P&si=0GU0BztbYIVh5X-9,YouTube,it gives you motivational ideas in a philosophical way,(2015-2024),The school of life,All levels,highest views 552K,Free,open duration
https://www.instagram.com/jun_yuh?igsh=bHIwcTJ0MmJydm1x,Instagram,Small videos on how to study smart using various and effective methods,2024,Jun,All levels,highest views 1.7M,Free,open duration
https://youtube.com/playlist?list=PLiZj-Ik9MmM1QDMxisXX66vpVxXGgPDq2&si=4C0GSNj6hLYkg9Ki,YouTube,In this course you will learn how to improve your communication skills like a pro 😉. And how to be a good communicator.,(2017-2020),Evan Carmichae,All levels,highest views 330K,Free,open duration
https://youtube.com/playlist?list=PLD4cyJhQaFwV8UoeCTaFi1gjV3r_ClcHB&si=WAWaU8rUcyMrljim,YouTube,"In this course, you will learn how to discover yourself, how to recover, discover your strengths, and maintain flexibility and also self-motivation. And how to be a good communicator",(2022-2024),Psych2go,All levels,highest views 700K,Free,open duration
https://youtube.com/playlist?list=PLwxNMb28XmpckOvZZ_AZjD7WM2p9-6NBv&si=dkgo4qIp0RkteoHy,YouTube,"in this course you will learn anxiety management, emotional intelligence, relationships, work, creativity, and spirituality.",(2015-2024),The school of life,All levels,highest views 1M,Free,open duration
https://youtube.com/playlist?list=PLhW2xUEb-B-Y92Q1wVWw6TyMNr4idD-yv&si=lO3p1PnSBNCjnXDR,YouTube,A course containing tips on self-development and self-motivation,(2023-2024),Mel Robbins,All levels,highest views 2M,Free,open duration
https://www.coursera.org/specializations/public-speaking,coursera,Become an Excellent Public Speaker. Master techniques for designing and delivering clear and compelling presentations.,2018,Dr. Matt McGarrity,Begginer,"Reviews and ratings:4.8 (1,205 reviews)",Free,2 months at 10 hours a week
https://www.coursera.org/learn/learning-how-to-learn,coursera,Learning How to Learn: Powerful mental tools to help you master tough subjects,2018,Dr. Terrence Sejnowski  andBarbara Oakley,Begginer,"4.8(88,772 reviews)",Free,15 hours to complete 3 weeks at 5 hours a week
https://www.coursera.org/learn/digital-marketing-revolution,coursera,The Digital Marketing Revolution,2015,Steve Raquel and Aric Rindfleisch,Begginer,"4.7(1,571 reviews) 97% gave it a like",Free,25 hours (approximately)
https://www.coursera.org/learn/learning-for-a-sustainable-future,coursera,Learning for a Sustainable Future,after 2015.,Beth Christie and Pete Higgins,Begginer,4.7(103 reviews),Free,11 hours to complete 3 weeks at 3 hours a week
https://www.coursera.org/learn/present-with-purpose,coursera,Present with Purpose: Create/Deliver Effective Presentations,2018-2024,IBM Skills Network Team,Begginer,4.6(110 reviews )97% gave it a like,Free,7 hours to complete 3 weeks at 2 hours a week
https://www.coursera.org/learn/positioning,coursera,Positioning: What you need for a successful Marketing Strategy,2018-2020,Ignacio Gafo,Begginer,4.5(905 reviews) 81% gave it a like,Free,2 hours (approximately)
https://www.coursera.org/specializations/strategic-leadership-impact-change-decision-making,coursera,"Strategic Leadership: Impact, Change, and Decision-Making Specialization",not known,Sydney Finkelstein,Begginer,4.9(357 reviews),Free,10 hours (approximately)
https://www.coursera.org/learn/mindshift,coursera,Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,2020-2023,Dr. Terrence Sejnowski and Barbara Oakley,Begginer,"4.8(12,634 reviews)",Free,2 months at 10 hours a week
https://www.coursera.org/learn/speak-to-inspire-ceremonial-motivational-speeches,coursera,Speaking to Inspire: Ceremonial and Motivational Speeches,2023-2024,Dr. Matt McGarrity,Begginer,4.8 (148 reviews) 97% gave it a like,Free,10 hours to complete 3 weeks at 3 hours a week
https://www.coursera.org/learn/an-approach-to-stress-reduction,coursera,Mindfulness: An Approach to Stress Reduction,2023,Eunmi (Jina) Kim,Begginer,4.8(12 reviews),Free,15 hours (approximately)
https://www.coursera.org/learn/leading-for-equity-diversity-inclusion,coursera,"Leading for Equity, Diversity and Inclusion in Higher Education",2020-2022,Dr. John C. Burkhardt,Intermediate level,4.6(280 reviews),Free,16 hours to complete 3 weeks at 5 hours a week
https://www.coursera.org/learn/creating-a-healthy-culture-addressing-workplace-bullying,coursera,Creating a Healthy Culture: Addressing Workplace Bullying,recently updated in December 2023,Catherine Mattice,Intermediate level,no reviews,Free,2 hours to complete
https://www.coursera.org/learn/people-soft-skills-assessment,coursera,People and Soft Skills Assessment,last updated in December 2023,IBM Skills Network Team,Intermediate level,4.6(84 reviews),Free,2 hours (approximately)
https://www.coursera.org/learn/gritandgrowthmindset,coursera,Grit and Growth Mindset,not known,CareerCatalyst,Mixed,4.8(6 reviews),Free,7 hours (approximately)
https://www.coursera.org/learn/positivethinkingandthriving,coursera,Positive Thinking and Thriving,not known,CareerCatalyst,Mixed,4.8(6 reviews),Free,5 hours (approximately)
https://www.coursera.org/learn/the-science-of-well-being,coursera,The Science of Well-Being,he course has been around since at least 2018,Laurie Santos,Mixed,"4.9(37,346 reviews)",Free,19 hours to complete 3 weeks at 6 hours a week
https://www.coursera.org/learn/inform-speech,coursera,Speaking to inform: Discussing complex ideas with clear explanations and dynamic slides,has been around since at least 2018,Dr. Matt McGarrity,Mixed,4.8(373 reviews) 98% gave it a like,Free,13 hours (approximately)
https://www.udemy.com/share/101uuy/,udemy,Introduction to Salesforce Certification and Career Planning,not known,"Created by Mike Wheeler, Aaron Wheeler, Mike Wheeler Media, Evan Wheeler",Begginer,"4.7 (2,978 ratings)37,643 students",Free,1hr 15min of on-demand video
https://www.udemy.com/share/101qZe/,udemy,ntroduction to Resumes & Cover Letters,not known,Created by Clark Waggoner,Begginer,"4.8 33,989 students  (1,922 ratings",Free,36min of on-demand video
https://www.udemy.com/course/stacked_career_change/,udemy,"Double Your Job Interviews, Leverage Recruiters, Unlock Linkedin",not known,Created by Karen Gurney,Begginer,"4.7(473 ratings)11,132 students",Free,6hr 34min of on-demand video
https://www.udemy.com/course/soft-skills-top-10-soft-skills-needed-for-career-success/,udemy,"Soft Skills : Top 10 Soft Skills For Career Success In 2024 Soft Skill, Soft Skills, Soft Skill Training, Career, Placement, Hiring, Freshers.",not known,Created by Dathathreyalu TP,Begginer,"4.7(97 ratings)1,699 students",Free,50min of on-demand video
https://www.udemy.com/course/a-comprehensive-guide-to-corporate-academia-connect-programs/,udemy,STEM Career Development by Partnering with Corporates Develop real world experience while studying at STEM school,not known,Created by Ramesh Chandak,Begginer,"4.6(23 ratings)2,588 students",Free,1hr 37min of on-demand video
https://www.udemy.com/course/how-to-choose-your-career-path/,udemy,How to Choose Your Career Path 10 Tips on How to Choose Your Career Path Wisely,not known,Created by Alston Antony,Begginer,4.6(11 ratings)854 students,Free,32min of on-demand video
https://www.udemy.com/course/personal-career-mastery/,udemy,Personal Career Mastery A new age of work requires a new working style to thrive,not known,Created by Trevor Crane,Begginer,5.0(1 rating)449 students,Free,1hr 59min of on-demand video
https://www.udemy.com/course/conquering-procrastination/,udemy,Overcoming Procrastination,not known,Created by Mustafa Jamal Ahmad Alhamaideh,Begginer,4.6(16 ratings)481 students,Free,32min of on-demand video
